timestamp,open,high,low,close,volume,RSI,stochrsi_k,stochrsi_d,macdA_fast,macdA_signal,macdB_fast,macdB_signal,EMA_5,EMA_10,EMA_20,EMA_50,EMA_200,ATR,Bollinger_upper,Bollinger_lower,ADX
2025-09-16 03:00:00,115034.48,115426.49,115034.44,115307.25,236.03187,51.20876082167919,53.58251381056107,50.7845205179078,-10.7457843227603,21.195040271954262,-59.05985422228696,29.18137780629914,115185.64194196797,115181.93704305746,115208.27367774841,115330.29354310072,114099.45969999996,420.41976009057277,115582.4442789769,114492.65372102316,11.679445069563629
2025-09-16 04:00:00,115307.26,115560.01,114930.0,115503.01,446.01382,54.75477697016089,73.46168964753026,56.768299561920514,25.902000709305867,46.27426024321635,-29.087978681520326,47.32260267765261,115291.43129464531,115240.31394431974,115236.34380367713,115337.06673748893,114113.42537462682,435.3904915126744,115638.28118002048,114513.39081997954,12.189224515869864
2025-09-16 05:00:00,115503.02,115957.23,115454.3,115936.65,685.43114,61.44013182151809,92.85898403601469,73.30106249803539,98.78140762753901,95.32293372915959,29.318111598913674,84.5829543664693,115506.5041964302,115366.92049989797,115303.03963189835,115360.57980660701,114131.56691318775,440.21474211891143,115795.98259877283,114462.4954012272,13.640671471298708
2025-09-16 06:00:00,115936.65,116009.62,115591.57,115770.35,449.53079,57.90645900124291,92.615931813001,86.31220183218204,128.25034555551247,99.83349732570643,61.477662541146856,93.39400424696197,115594.45279762014,115440.27131809834,115347.54538124138,115376.64922595576,114147.87321255902,438.63154625327405,115879.85914332813,114478.7498566719,15.101233209688148
2025-09-16 07:00:00,115770.36,115886.17,115724.41,115840.0,319.02367,58.970800022888895,87.45594238987638,90.97695274629741,153.19614596114843,99.82343818507391,91.52941712504253,98.75660706468611,115676.3018650801,115512.94926026228,115394.44582112315,115394.81984454572,114164.71029502111,418.85500723518265,115972.63032248696,114462.97867751306,16.4574691096212
2025-09-16 08:00:00,115839.99,115981.17,115526.5,115658.76,463.00777,55.06878908159507,74.14219444909533,84.73802288399095,146.52222658821847,74.51961504971516,99.57327707398508,85.44037361090294,115670.45457672006,115539.46030385095,115419.61860006381,115405.17043887726,114179.5764612398,421.41322100409803,116006.6488487118,114522.73215128819,16.826346958781937
2025-09-16 09:00:00,115658.76,115720.0,115443.65,115477.27,286.71309,51.400984166659654,60.548160080166944,74.04876563971294,118.12477056277567,36.897727219417874,90.26287359153503,60.9039761027623,115606.05971781338,115528.15297587805,115425.10920958154,115407.99787264678,114192.4888347598,411.0515623609486,115998.73360643728,114611.96639356273,16.819395972531524
2025-09-16 10:00:00,115477.28,115590.49,115372.35,115372.46,292.6133,49.35651804222685,40.457869517070606,58.38274134877768,83.92974490165943,2.1621612466413183,73.57884951165761,35.375961618307905,115528.19314520892,115499.84516208204,115420.0949991452,115406.6042305822,114204.22984137911,397.2721650494522,115971.30938062444,114708.68061937555,16.513249921018403
2025-09-16 11:00:00,115372.47,115431.52,115206.15,115287.83,303.19825,47.70648659493869,25.0733825145219,42.02647070391987,48.81306679270347,-26.363613489851716,52.91770415549399,11.771853009715429,115448.07209680595,115461.29695079439,115407.49833255995,115401.9464176182,114215.01193250967,384.99343897449205,115951.90392016948,114772.57907983052,15.56372123544185
2025-09-16 12:00:00,115287.84,115460.2,115287.38,115439.36,296.84884,50.87331226663733,23.97074356397391,29.833998531855524,40.16627533978317,-28.008323954217616,48.215009598308825,5.65532676202421,115445.1680645373,115457.30841428632,115410.53277707804,115403.41361692728,114227.1945003454,369.83819333345633,115896.00438168643,114906.15761831358,14.786727470882253
2025-09-16 13:00:00,115439.36,115558.06,114737.11,115200.0,1064.59506,46.12191540342692,17.211621353874765,22.085249144123576,6.600931240493082,-49.258934442806165,24.886858482597745,-14.138259482949493,115363.4453763582,115410.52506623426,115390.48203640395,115395.4366123419,114236.87415705838,402.06046523820925,115892.08461549002,114918.07438451002,15.178287811482605
