timestamp,open,high,low,close,volume,RSI,stochrsi_k,stochrsi_d,macdA_macd,macdA_signal,macdA_hist,macdB_macd,macdB_signal,macdB_hist,EMA_5,EMA_10,EMA_20,EMA_50,EMA_200,ATR,Bollinger_upper,Bollinger_middle,Bollinger_lower,ADX
2025-10-20 04:00:00,110145.45,111445.67,109951.96,111169.92,3967.97672,62.268036039097844,96.96419715951941,96.96419715951943,508.57331986847566,-173.79370377403282,682.3670236425085,-195.87698680601898,-860.5365714108344,664.6595846048154,109654.14169331847,108834.75867510859,108618.17495725548,110524.25973118964,114917.70985000009,1483.9635612840025,110373.80841930477,107577.02800000008,104780.24758069539,33.95237324347207
2025-10-20 08:00:00,111169.91,111679.25,110608.27,111016.75,3452.86704,61.2384827283701,98.68463533019286,97.53767654974392,667.826367016969,-5.469689615832436,673.2960566328014,4.889161378989229,-687.4514248528696,692.3405862318589,110108.3444622123,109231.48437054339,108846.6106756121,110543.57307506456,114878.89432910456,1454.464735478002,110774.28954163502,107669.02850000006,104563.7674583651,31.588613700172086
2025-10-20 12:00:00,111016.75,111705.56,110588.23,111144.55,3006.20504,61.805924751976214,98.04645169127603,97.89842806032946,775.6376991932921,150.75178814599246,624.8859110472996,172.3237314797443,-515.4963935863468,687.8201250660911,110453.74630814153,109579.31448499004,109065.46203983952,110567.14079761105,114841.73667408859,1430.3836829438592,111250.06924802453,107944.56850000005,104639.06775197557,29.367211455762654
2025-10-20 16:00:00,111144.55,111303.05,109855.83,110803.22,3716.65669,59.308645974612325,93.95948309093846,96.89685670413581,793.0968251622689,279.2207955492478,513.8760296130212,274.3122552739951,-357.5346638142784,631.8469190882736,110570.23753876102,109801.8427604464,109230.96279795004,110576.39880554787,114801.55242857528,1431.586277019298,111558.56864647889,108200.54350000006,104842.51835352123,28.010027504667672
2025-10-20 20:00:00,110803.22,111272.0,110418.25,110532.09,1366.18103,57.327185847821426,88.45144863095591,93.48579447105682,755.459138791135,374.4684641976252,380.9906745935098,329.463124283473,-220.1351061947281,549.5982304782011,110557.52169250735,109934.61498581978,109354.87967433575,110574.66120533031,114759.07021535562,1390.3122572322052,111827.05925471608,108386.97150000006,104946.88374528404,26.749785264365187
2025-10-21 00:00:00,110532.09,110532.09,109052.09,109059.22,2405.81342,47.95442489163071,69.32228898546869,83.91107356912103,547.1324879964959,409.00126895739936,138.13121903909655,251.4240259372309,-125.8232797683363,377.2473057055672,110058.0877950049,109775.45226112528,109326.7216101133,110515.23213845461,114702.35528783964,1396.718524572762,111850.36826199217,108517.19650000005,105184.02473800792,26.711347905712124
2025-10-21 04:00:00,109059.23,109059.23,107473.72,108086.37,4930.3268,42.958435325474106,46.74236674613736,68.17203478752066,281.50029762003396,383.50107468992627,-102.00077706989231,109.81078334759513,-78.69646714515002,188.50725049274516,109400.84853000326,109468.34639546613,109208.5928853406,110419.98264282894,114636.52458845815,1410.2036299604213,111801.47757708507,108599.93100000006,105398.38442291504,27.625898549356346
2025-10-21 08:00:00,108086.38,108811.47,107484.22,108580.01,2989.72657,46.03090171998944,31.142003994035253,49.068886575213774,145.75161544322327,335.95118284058566,-190.1995673973624,36.98752167938801,-55.55966938024241,92.54719105963042,109127.23568666884,109306.83068719956,109148.72784864149,110347.82685291408,114576.26076170732,1404.278370677534,111799.39895435747,108675.41150000005,105551.42404564262,28.475124147025983
2025-10-21 12:00:00,108580.0,113557.62,107922.06,113422.61,10002.10737,65.60391418749956,50.909347278439306,42.93123933953731,586.3685360261006,386.03465347768866,200.33388254841196,365.8150229743187,28.71526909066982,337.0997538836489,110559.02712444589,110055.15419861782,109555.76424400897,110468.40658417235,114564.78164965054,1706.5127727719957,112619.04747225172,109013.29200000004,105407.53652774837,27.46562653777644
2025-10-21 16:00:00,113422.6,114000.0,111324.29,111780.39,10731.47816,57.93099036441012,66.28196922696945,49.44444016648134,694.0454555395409,447.6368138900591,246.40864164948175,488.271270165802,120.62646930569626,367.6448008601057,110966.14808296392,110368.83343523277,109767.63336362716,110519.8569142048,114537.07626010178,1775.741146145425,112939.50824062404,109241.88150000005,105544.25475937605,26.756474952201355
