timestamp,open,high,low,close,volume,RSI,stochrsi_k,stochrsi_d,macdA_macd,macdA_signal,macdA_hist,macdB_macd,macdB_signal,macdB_hist,EMA_5,EMA_10,EMA_20,EMA_50,EMA_200,ATR,Bollinger_upper,Bollinger_middle,Bollinger_lower,ADX
2025-10-01,114048.94,118649.1,113966.67,118594.99,20036.39516,63.04356820631584,78.40553272152044,59.847777161844135,390.50027943286113,-227.89820871274355,618.3984881456047,136.27072902159125,-186.21290671246908,322.48363573406033,114760.7349668516,113823.40711008414,113599.25335344192,113561.45054653223,104915.67145000001,2525.7578057910546,119421.42557927455,114238.81150000003,109056.1974207255,18.668764064225464
2025-10-02,118594.99,121022.07,118279.31,120529.35,19670.83503,66.4291448663107,88.66676805554225,75.68990113756136,1071.0336496040836,31.888162950621904,1039.1454866534618,668.9016835749935,-15.18998865497656,684.0916722299701,116683.60664456773,115042.66945370521,114259.26255787602,113834.70150549174,105071.03143557215,2541.2579625202657,120288.7469832493,114463.80800000003,108638.86901675077,20.34268093160628
2025-10-03,120529.35,123894.99,119248.3,122232.0,23936.328,69.11147684181343,100.0,89.02410025902088,1704.263914176685,366.36331319583456,1337.9006009808504,1214.406258412273,230.72926075847337,983.6769976537996,118533.07109637848,116349.82046212244,115018.57088569735,114164.00732880579,105241.78734168586,2691.6459651973896,121500.88789633254,114779.49350000003,108058.09910366751,22.506839795743904
2025-10-04,122232.21,122800.0,121510.0,122391.0,8208.16678,69.35769944344284,100.0,96.22225601851407,2117.6388152595464,716.6184136085769,1401.0204016509695,1640.6402556960384,512.7114597459864,1127.928795950052,119819.04739758566,117448.21674173654,115720.70699182141,114486.63449238203,105412.42627360938,2591.5283962547187,122632.91245836839,115135.64300000004,107638.37354163169,24.516415883871694
2025-10-05,122390.99,125708.42,122136.0,123482.31,22043.097553,71.0626998035428,100.0,99.99999999999999,2472.3981588413008,1067.7743626551216,1404.623796186179,2042.9435839873622,818.7578845942617,1224.1856993931005,121040.13493172378,118545.32460687535,116459.90727831461,114839.40608091607,105592.22611168292,2661.5920822365247,123877.25125848793,115542.27300000004,107207.29474151216,26.902764471740802
2025-10-06,123482.32,126199.63,123084.0,124658.54,19494.628793,72.81823507602022,100.0,99.99999999999999,2787.3092319634598,1411.6813365167893,1375.6278954466704,2428.687404341108,1140.743788543631,1287.9436157974772,122246.26995448252,119656.81831471619,117240.72944228465,115224.47015617427,105781.94067773582,2694.023362076773,125164.1309900265,115935.75200000005,106707.3730099736,29.197221145581608
2025-10-07,124658.54,125126.0,120574.94,121332.95,21633.99385,61.46453787044833,89.72302530311309,96.57434176770435,2566.6930792586936,1642.6836850651703,924.0093941935233,2437.941766107251,1400.183384056355,1037.7583820508962,121941.82996965501,119961.56953022233,117630.46473349564,115464.01838534391,105936.67708890264,2826.6688362141463,125703.56266976542,116180.02000000006,106656.4773302347,29.899765858981613
2025-10-08,121332.96,124197.25,121066.14,123306.0,17012.618,64.95568976253385,82.60612075855896,90.77638202055734,2570.020971728023,1828.1511423977408,741.8698293302823,2574.8038242874754,1635.107472102579,939.6963521848963,122396.55331310334,120569.64779745463,118170.99190173415,115771.54707611473,106109.50617259515,2848.4146336274216,126506.91555461152,116491.64350000008,106476.37144538864,30.55212880713876
2025-10-09,123306.01,123762.94,119651.47,121662.4,21559.36007,60.07330061253919,70.27461506937225,80.86792037701476,2326.242206725874,1927.7693552633675,398.47285146250647,2521.5760485108767,1812.4011873842387,709.174861126638,122151.83554206889,120768.33001609924,118503.50695871185,116002.56091626709,106264.26133505689,2938.632874082606,127047.00917239756,116793.14450000008,106539.2798276026,30.40351551372098
2025-10-10,121662.41,122550.0,102000.0,112774.5,64171.93927,41.78353666740045,50.52361582220484,67.80145055004535,1112.721277669436,1764.759739744581,-652.0384620751452,1742.1311979906168,1798.3471895055143,-56.215991514897496,119026.05702804592,119314.90637680846,117957.88724835834,115875.97029209975,106329.03982923542,4196.587668790991,127041.8930268411,116647.58800000008,106253.28297315905,30.833491464355337
2025-10-11,112774.49,113322.39,109561.59,110644.4,35448.51652,38.73939437134055,24.307187033425638,48.36847264166757,9.59146800894814,1413.7260853974544,-1404.1346173885063,941.6791789449344,1627.0135873933982,-685.3344084484638,116232.17135203061,117738.45067193419,117261.3646532766,115670.81067280172,106371.97873640721,4165.459978163063,127125.11318735138,116418.19350000008,105711.27381264878,31.232754847087243
2025-10-12,110644.4,115770.0,109565.06,114958.8,32255.30272,47.13968976663084,11.521890254756059,28.784231036795507,-273.9252267688862,1076.1958229641864,-1350.1210497330726,647.9816805023584,1431.2072060151902,-783.2255255128318,115807.71423468707,117233.05964067343,117042.07278153597,115642.88868563302,106457.41974400515,4311.137122579988,127124.73458702011,116533.58400000006,105942.43341298001,30.87139347950157
2025-10-13,114958.81,115963.81,113616.5,115166.0,22557.24033,47.51193390781292,16.797162674026936,17.542079987402875,-440.1509607691405,772.926466217521,-1213.0774269866615,427.0211711185548,1230.3699990358632,-803.3488279173084,115593.80948979138,116857.23061509644,116863.39918329444,115624.18716854937,106544.0722838658,4170.863756681417,127100.27543268458,116691.94400000006,106283.61256731555,30.478471672873585
