timestamp,open,high,low,close,volume
2025-09-17 00:00:00,116788.96000000,116832.00000000,116560.00000000,116560.01000000,269.72360000
2025-09-17 01:00:00,116560.01000000,116768.00000000,116516.92000000,116662.25000000,267.74519000
2025-09-17 02:00:00,116662.25000000,117077.16000000,116556.52000000,116686.43000000,742.45370000
2025-09-17 03:00:00,116686.43000000,116758.83000000,116371.81000000,116372.04000000,377.83050000
2025-09-17 04:00:00,116372.05000000,116480.01000000,116160.22000000,116313.49000000,262.15716000
2025-09-17 05:00:00,116313.50000000,117214.00000000,116313.49000000,117108.30000000,894.88999000
2025-09-17 06:00:00,117108.31000000,117286.73000000,116970.41000000,117234.27000000,770.01131000
2025-09-17 07:00:00,117234.28000000,117275.00000000,117125.78000000,117162.48000000,557.97471000
2025-09-17 08:00:00,117162.48000000,117189.86000000,116683.99000000,116860.00000000,635.73334000
2025-09-17 09:00:00,116860.01000000,116860.01000000,116548.88000000,116550.01000000,380.39506000
2025-09-17 10:00:00,116550.01000000,116604.26000000,116267.44000000,116359.14000000,356.93808000
2025-09-17 11:00:00,116359.14000000,116383.87000000,116253.27000000,116258.13000000,282.02162000
2025-09-17 12:00:00,116258.12000000,116516.93000000,116096.41000000,116204.94000000,387.04674000
2025-09-17 13:00:00,116204.94000000,116330.75000000,115905.88000000,116107.19000000,664.85629000
2025-09-17 14:00:00,116107.18000000,116240.00000000,115432.00000000,115606.61000000,1214.53614000
2025-09-17 15:00:00,115606.62000000,115886.17000000,115527.48000000,115875.32000000,581.89144000
2025-09-17 16:00:00,115875.33000000,115875.33000000,115386.21000000,115640.77000000,659.41460000
2025-09-17 17:00:00,115640.76000000,116288.27000000,115500.00000000,115504.48000000,696.96558000
2025-09-17 18:00:00,115504.49000000,116333.33000000,114720.81000000,115226.93000000,3427.38872000
2025-09-17 19:00:00,115226.93000000,115989.20000000,115068.33000000,115652.02000000,955.04331000
2025-09-17 20:00:00,115652.02000000,116140.20000000,115496.68000000,115621.47000000,455.26463000
2025-09-17 21:00:00,115621.47000000,116120.00000000,115307.33000000,116038.39000000,336.05085000
2025-09-17 22:00:00,116038.39000000,116823.72000000,116038.39000000,116559.69000000,741.17447000
2025-09-17 23:00:00,116559.68000000,116990.68000000,116340.07000000,116447.59000000,836.73837000
2025-09-18 00:00:00,116447.60000000,116470.52000000,116092.76000000,116350.65000000,442.99009000
2025-09-18 01:00:00,116350.65000000,116869.46000000,116340.00000000,116634.84000000,440.77649000
2025-09-18 02:00:00,116634.84000000,116959.96000000,116429.55000000,116950.47000000,318.21360000
2025-09-18 03:00:00,116950.46000000,117896.00000000,116896.93000000,117581.66000000,1879.70060000
2025-09-18 04:00:00,117581.67000000,117750.00000000,117219.50000000,117605.16000000,612.38170000
2025-09-18 05:00:00,117605.16000000,117605.16000000,117176.10000000,117273.36000000,340.19852000
2025-09-18 06:00:00,117273.37000000,117338.05000000,116888.02000000,117102.43000000,474.42047000
2025-09-18 07:00:00,117102.43000000,117208.00000000,117048.81000000,117086.01000000,362.62720000
2025-09-18 08:00:00,117086.01000000,117413.04000000,117010.59000000,117229.59000000,383.66591000
2025-09-18 09:00:00,117229.58000000,117350.00000000,117107.57000000,117298.81000000,260.44715000
2025-09-18 10:00:00,117298.82000000,117307.50000000,117078.72000000,117190.47000000,236.63641000
2025-09-18 11:00:00,117190.48000000,117300.00000000,117013.77000000,117063.40000000,285.00282000
2025-09-18 12:00:00,117063.41000000,117279.00000000,116977.59000000,117124.69000000,249.62123000
2025-09-18 13:00:00,117124.69000000,117655.55000000,117004.28000000,117432.04000000,647.01760000
2025-09-18 14:00:00,117432.04000000,117843.83000000,117400.54000000,117640.54000000,711.59459000
2025-09-18 15:00:00,117640.54000000,117705.51000000,117322.41000000,117583.56000000,808.09852000
2025-09-18 16:00:00,117583.56000000,117789.00000000,117500.01000000,117565.60000000,483.30991000
2025-09-18 17:00:00,117565.59000000,117765.59000000,117418.45000000,117579.93000000,479.43176000
2025-09-18 18:00:00,117579.94000000,117900.00000000,117512.11000000,117822.97000000,474.53821000
2025-09-18 19:00:00,117822.98000000,117822.98000000,117196.33000000,117450.21000000,391.34362000
2025-09-18 20:00:00,117450.21000000,117657.17000000,117337.95000000,117521.14000000,192.47211000
2025-09-18 21:00:00,117521.14000000,117521.14000000,117299.21000000,117299.21000000,187.11636000
2025-09-18 22:00:00,117299.21000000,117334.80000000,117027.34000000,117061.02000000,345.51742000
2025-09-18 23:00:00,117061.02000000,117172.21000000,116612.03000000,117073.53000000,650.11136000
2025-09-19 00:00:00,117073.53000000,117427.70000000,117020.00000000,117424.20000000,328.86734000
2025-09-19 01:00:00,117424.21000000,117459.99000000,117118.21000000,117241.32000000,268.67490000
2025-09-19 02:00:00,117241.32000000,117285.99000000,117044.13000000,117112.80000000,395.51641000
2025-09-19 03:00:00,117112.81000000,117291.01000000,116871.61000000,116977.58000000,333.32919000
2025-09-19 04:00:00,116977.58000000,117100.00000000,116700.02000000,116990.65000000,377.41298000
2025-09-19 05:00:00,116990.65000000,117010.00000000,116780.75000000,116894.83000000,306.31482000
2025-09-19 06:00:00,116894.83000000,116894.83000000,116633.86000000,116669.75000000,430.54942000
2025-09-19 07:00:00,116669.76000000,116992.81000000,116665.00000000,116909.97000000,423.81384000
2025-09-19 08:00:00,116909.98000000,117090.36000000,116882.47000000,116915.88000000,283.85786000
2025-09-19 09:00:00,116915.88000000,116979.86000000,116488.00000000,116488.00000000,361.47256000
2025-09-19 10:00:00,116488.00000000,116551.54000000,116434.23000000,116532.68000000,289.26548000
2025-09-19 11:00:00,116532.68000000,116554.05000000,116300.00000000,116394.72000000,309.23241000
2025-09-19 12:00:00,116394.72000000,116529.08000000,116133.66000000,116162.45000000,488.73837000
2025-09-19 13:00:00,116162.45000000,116465.35000000,116075.00000000,116284.64000000,435.12378000
2025-09-19 14:00:00,116284.63000000,116479.11000000,115800.00000000,115899.99000000,846.39402000
2025-09-19 15:00:00,115899.99000000,115952.95000000,115464.19000000,115884.03000000,887.61948000
2025-09-19 16:00:00,115884.03000000,116136.00000000,115800.00000000,116088.68000000,355.37234000
2025-09-19 17:00:00,116088.68000000,116093.18000000,115538.67000000,115542.73000000,360.56628000
2025-09-19 18:00:00,115542.73000000,115644.73000000,115382.98000000,115407.49000000,388.78402000
2025-09-19 19:00:00,115407.49000000,115479.45000000,115112.58000000,115125.12000000,308.93231000
2025-09-19 20:00:00,115125.13000000,115445.23000000,115100.00000000,115342.57000000,338.84816000
2025-09-19 21:00:00,115342.56000000,115532.73000000,115306.07000000,115465.39000000,178.46294000
2025-09-19 22:00:00,115465.39000000,115657.28000000,115465.39000000,115613.21000000,139.86142000
2025-09-19 23:00:00,115613.21000000,115648.00000000,115448.01000000,115632.38000000,155.08032000
2025-09-20 00:00:00,115632.39000000,115730.41000000,115548.92000000,115723.73000000,220.87363000
2025-09-20 01:00:00,115723.72000000,115723.73000000,115610.84000000,115623.51000000,178.50409000
2025-09-20 02:00:00,115623.50000000,115623.51000000,115444.00000000,115606.39000000,154.74621000
2025-09-20 03:00:00,115606.40000000,115606.40000000,115408.47000000,115445.00000000,162.93905000
2025-09-20 04:00:00,115445.00000000,115582.38000000,115409.08000000,115568.41000000,144.02474000
2025-09-20 05:00:00,115568.41000000,115717.50000000,115512.63000000,115717.49000000,224.42562000
2025-09-20 06:00:00,115717.49000000,115724.34000000,115625.85000000,115700.46000000,159.86607000
2025-09-20 07:00:00,115700.47000000,115985.20000000,115683.47000000,115968.56000000,231.14483000
2025-09-20 08:00:00,115968.56000000,115968.57000000,115700.01000000,115701.43000000,183.70782000
2025-09-20 09:00:00,115701.43000000,115794.39000000,115664.11000000,115672.80000000,196.19831000
2025-09-20 10:00:00,115672.80000000,115798.16000000,115672.79000000,115747.54000000,170.36368000
2025-09-20 11:00:00,115747.54000000,115909.54000000,115747.54000000,115894.06000000,242.77605000
2025-09-20 12:00:00,115894.05000000,115950.89000000,115804.47000000,115874.49000000,155.45643000
2025-09-20 13:00:00,115874.50000000,115951.96000000,115859.48000000,115915.80000000,123.96705000
2025-09-20 14:00:00,115915.79000000,116036.00000000,115883.30000000,115970.36000000,209.62425000
2025-09-20 15:00:00,115970.36000000,116121.81000000,115946.91000000,115986.69000000,347.86651000
2025-09-20 16:00:00,115986.70000000,116057.24000000,115882.58000000,116027.94000000,226.24762000
2025-09-20 17:00:00,116027.95000000,116079.46000000,115817.28000000,115821.72000000,189.06923000
2025-09-20 18:00:00,115821.73000000,115821.73000000,115700.00000000,115711.51000000,191.99051000
2025-09-20 19:00:00,115711.51000000,115812.62000000,115698.08000000,115702.00000000,290.90070000
2025-09-20 20:00:00,115702.00000000,115789.57000000,115689.91000000,115721.10000000,163.21635000
2025-09-20 21:00:00,115721.10000000,115944.70000000,115721.10000000,115786.31000000,200.36310000
2025-09-20 22:00:00,115786.30000000,115796.54000000,115742.14000000,115776.06000000,169.22355000
2025-09-20 23:00:00,115776.06000000,115776.06000000,115603.42000000,115685.63000000,137.43212000
2025-09-21 00:00:00,115685.63000000,115732.94000000,115559.97000000,115660.01000000,204.93197000
2025-09-21 01:00:00,115660.01000000,115660.01000000,115500.00000000,115500.00000000,193.04313000
2025-09-21 02:00:00,115500.01000000,115700.00000000,115441.83000000,115690.76000000,321.18986000
2025-09-21 03:00:00,115690.76000000,115723.43000000,115616.38000000,115669.41000000,199.89426000
2025-09-21 04:00:00,115669.42000000,115669.42000000,115494.22000000,115494.23000000,121.47731000
2025-09-21 05:00:00,115494.23000000,115663.49000000,115487.56000000,115663.48000000,237.18676000
2025-09-21 06:00:00,115663.48000000,115787.39000000,115663.48000000,115687.20000000,201.84931000
2025-09-21 07:00:00,115687.21000000,115815.98000000,115615.00000000,115815.97000000,246.42642000
2025-09-21 08:00:00,115815.98000000,115819.06000000,115560.94000000,115629.60000000,182.84602000
2025-09-21 09:00:00,115629.60000000,115704.53000000,115329.03000000,115683.54000000,335.85586000
2025-09-21 10:00:00,115683.53000000,115708.33000000,115504.13000000,115522.31000000,111.62025000
2025-09-21 11:00:00,115522.31000000,115694.74000000,115522.31000000,115603.45000000,156.53082000
2025-09-21 12:00:00,115603.45000000,115747.23000000,115603.44000000,115683.59000000,183.94971000
2025-09-21 13:00:00,115683.59000000,115747.06000000,115645.20000000,115661.65000000,136.30562000
2025-09-21 14:00:00,115661.65000000,115691.15000000,115500.00000000,115500.01000000,192.82816000
2025-09-21 15:00:00,115500.00000000,115599.60000000,115473.19000000,115531.61000000,158.23691000
2025-09-21 16:00:00,115531.62000000,115549.90000000,115209.02000000,115316.00000000,239.98829000
2025-09-21 17:00:00,115316.01000000,115629.58000000,115249.94000000,115628.18000000,234.56593000
2025-09-21 18:00:00,115628.19000000,115665.52000000,115513.98000000,115530.90000000,173.87321000
2025-09-21 19:00:00,115530.89000000,115530.90000000,115318.02000000,115480.05000000,132.68903000
2025-09-21 20:00:00,115480.05000000,115503.47000000,115307.51000000,115307.51000000,93.55507000
2025-09-21 21:00:00,115307.52000000,115434.53000000,115250.01000000,115405.48000000,101.37440000
2025-09-21 22:00:00,115405.48000000,115545.43000000,115188.00000000,115538.90000000,154.30721000
2025-09-21 23:00:00,115538.91000000,115538.91000000,115200.00000000,115232.29000000,196.99668000
2025-09-22 00:00:00,115232.29000000,115379.25000000,114290.16000000,114407.28000000,1196.13685000
2025-09-22 01:00:00,114407.28000000,114750.00000000,114250.98000000,114273.45000000,660.65043000
2025-09-22 02:00:00,114273.44000000,114618.89000000,114150.00000000,114187.81000000,895.13507000
2025-09-22 03:00:00,114187.80000000,114654.36000000,114187.80000000,114649.89000000,326.66818000
2025-09-22 04:00:00,114649.89000000,114649.90000000,114397.32000000,114433.53000000,208.01066000
2025-09-22 05:00:00,114433.53000000,114551.80000000,113623.00000000,113691.19000000,753.79586000
2025-09-22 06:00:00,113691.18000000,113698.38000000,111800.00000000,112800.77000000,5199.12797000
2025-09-22 07:00:00,112800.77000000,112999.00000000,112476.17000000,112519.99000000,1129.86840000
2025-09-22 08:00:00,112520.00000000,112780.00000000,112452.00000000,112629.07000000,810.01414000
2025-09-22 09:00:00,112629.06000000,112662.87000000,112173.52000000,112336.62000000,1219.89658000
2025-09-22 10:00:00,112336.62000000,112848.33000000,112262.22000000,112792.16000000,523.20588000
2025-09-22 11:00:00,112792.16000000,112976.02000000,112683.49000000,112876.97000000,499.11385000
2025-09-22 12:00:00,112876.97000000,112876.97000000,112520.00000000,112738.65000000,504.05132000
2025-09-22 13:00:00,112738.64000000,113148.29000000,112380.00000000,113130.63000000,813.72754000
2025-09-22 14:00:00,113130.63000000,113432.76000000,112754.15000000,112933.16000000,1386.14648000
2025-09-22 15:00:00,112933.16000000,113024.23000000,112576.42000000,112815.50000000,609.57711000
2025-09-22 16:00:00,112815.50000000,112888.00000000,112585.87000000,112600.68000000,359.00005000
2025-09-22 17:00:00,112600.69000000,112622.95000000,112250.89000000,112398.66000000,595.09480000
2025-09-22 18:00:00,112398.65000000,112816.55000000,112345.54000000,112429.13000000,470.04903000
2025-09-22 19:00:00,112429.12000000,112600.87000000,111936.40000000,112122.90000000,1307.37365000
2025-09-22 20:00:00,112122.90000000,112977.41000000,111975.28000000,112781.88000000,596.84005000
2025-09-22 21:00:00,112781.87000000,112970.00000000,112602.79000000,112969.99000000,293.31156000
2025-09-22 22:00:00,112969.99000000,112970.00000000,112594.33000000,112643.25000000,289.60715000
2025-09-22 23:00:00,112643.25000000,112739.14000000,112592.20000000,112650.99000000,135.31095000
2025-09-23 00:00:00,112650.99000000,112833.09000000,112385.23000000,112395.32000000,400.92095000
2025-09-23 01:00:00,112395.32000000,112502.29000000,112138.88000000,112156.66000000,439.66589000
2025-09-23 02:00:00,112156.66000000,112487.38000000,111674.00000000,111811.88000000,717.47413000
2025-09-23 03:00:00,111811.88000000,112446.97000000,111478.00000000,112339.99000000,840.03485000
2025-09-23 04:00:00,112339.99000000,112469.21000000,111876.15000000,112442.30000000,530.48180000
2025-09-23 05:00:00,112442.29000000,112894.49000000,112413.01000000,112665.44000000,645.16259000
2025-09-23 06:00:00,112665.44000000,113111.89000000,112616.93000000,112974.96000000,574.99132000
2025-09-23 07:00:00,112974.97000000,113114.01000000,112882.48000000,113090.13000000,754.18067000
2025-09-23 08:00:00,113090.13000000,113177.72000000,112936.98000000,113133.84000000,657.66339000
2025-09-23 09:00:00,113133.84000000,113281.50000000,112888.00000000,112934.47000000,430.99222000
