timestamp,open,high,low,close,volume
2025-03-07,89931.88000000,91283.02000000,84667.03000000,86801.75000000,57980.35713000
2025-03-08,86801.74000000,86897.25000000,85218.47000000,86222.45000000,12989.23054000
2025-03-09,86222.46000000,86500.00000000,80000.00000000,80734.37000000,26115.39345000
2025-03-10,80734.48000000,84123.46000000,77459.91000000,78595.86000000,47633.38405000
2025-03-11,78595.86000000,83617.40000000,76606.00000000,82932.99000000,48770.06853000
2025-03-12,82932.99000000,84539.85000000,80607.65000000,83680.12000000,31933.98600000
2025-03-13,83680.12000000,84336.33000000,79939.90000000,81115.78000000,27546.27412000
2025-03-14,81115.78000000,85309.71000000,80818.84000000,83983.20000000,26858.52755000
2025-03-15,83983.19000000,84676.28000000,83618.00000000,84338.44000000,11324.73320000
2025-03-16,84338.44000000,85117.04000000,81981.12000000,82574.53000000,17596.12531000
2025-03-17,82574.52000000,84756.83000000,82456.00000000,84010.03000000,17214.74358000
2025-03-18,84010.02000000,84021.74000000,81134.66000000,82715.03000000,17610.89883000
2025-03-19,82715.03000000,87000.00000000,82547.16000000,86845.94000000,28151.05374000
2025-03-20,86845.93000000,87453.67000000,83655.23000000,84223.39000000,22090.30463000
2025-03-21,84223.38000000,84850.33000000,83175.25000000,84088.79000000,11956.97443000
2025-03-22,84088.79000000,84539.17000000,83625.10000000,83840.59000000,5420.22114000
2025-03-23,83840.59000000,86129.64000000,83809.75000000,86082.50000000,8461.97813000
2025-03-24,86082.50000000,88765.43000000,85519.09000000,87498.16000000,30115.62111000
2025-03-25,87498.16000000,88539.63000000,86310.00000000,87392.87000000,22643.25248000
2025-03-26,87392.88000000,88275.00000000,85860.00000000,86909.17000000,18408.78485000
2025-03-27,86909.17000000,87756.39000000,85800.00000000,87232.01000000,17098.03897000
2025-03-28,87232.01000000,87515.67000000,83585.00000000,84424.38000000,27182.73169000
2025-03-29,84424.38000000,84624.73000000,81644.81000000,82648.54000000,11696.39864000
2025-03-30,82648.53000000,83534.64000000,81565.00000000,82389.99000000,9864.49508000
2025-03-31,82390.00000000,83943.08000000,81278.52000000,82550.01000000,20569.13885000
2025-04-01,82550.00000000,85579.46000000,82432.74000000,85158.34000000,20190.39697000
2025-04-02,85158.35000000,88500.00000000,82320.00000000,82516.29000000,39931.45700000
2025-04-03,82516.28000000,83998.02000000,81211.24000000,83213.09000000,27337.84135000
2025-04-04,83213.09000000,84720.00000000,81659.00000000,83889.87000000,32915.53976000
2025-04-05,83889.87000000,84266.00000000,82379.95000000,83537.99000000,9360.40468000
2025-04-06,83537.99000000,83817.63000000,77153.83000000,78430.00000000,27942.71436000
2025-04-07,78430.00000000,81243.58000000,74508.00000000,79163.24000000,78387.53089000
2025-04-08,79163.24000000,80867.99000000,76239.90000000,76322.42000000,35317.32063000
2025-04-09,76322.42000000,83588.00000000,74620.00000000,82615.22000000,75488.28772000
2025-04-10,82615.22000000,82753.21000000,78464.36000000,79607.30000000,33284.80718000
